Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Earnest Stemmingway","The Stadium > Leisure World > Rattlesnake Wash Hillside > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/111247199/earnest-stemmingway,2.0,-1,Sport,5.7,1,45,34.09188,-116.13733
"Pit Boss","Poker Face > Big Hunk > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/111332170/pit-boss,1.6,-1,Sport,5.7,1,50,34.02749,-116.15106
"El Chapo","The Bilbo Buttresses > Indian Cove CG East > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/111536616/el-chapo,2.0,-1,Sport,5.7,1,40,34.09338,-116.15583
Kansas,"Indian Palisades Corridor > Indian Cove CG East > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/114030239/kansas,2.5,-1,Sport,5.7,1,70,34.09365,-116.15436
"Rocky Summers in Tucson","Apparition Rock (Rear) > Apparition Rock > Indian Cove CG West > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/114113469/rocky-summers-in-tucson,2.0,-1,Sport,5.7,1,50,34.09215,-116.16403
Hookah,"The Smoke Shop > (f) Del Taco Crags Area > Highway 62 Crags > Joshua Tree National Park > California",https://www.mountainproject.com/route/116247612/hookah,1.3,-1,Sport,5.7,1,35,34.11817,-116.08306
"Live at Leeds","Cunning Rock, Northwest Face > Jumbo Rock Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/116556972/live-at-leeds,2.0,-1,Sport,5.7,1,55,34.00249,-116.05927
"The Chosen Juan","Hodgepodge Rock - West Face > Hodgepodge Rock > Group Campsite  8 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/116563512/the-chosen-juan,1.8,-1,Sport,5.7,1,50,34.09669,-116.16054
"Keys Ranch Road","Rockworks Rock > Barker Dam Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/116717654/keys-ranch-road,2.3,-1,Sport,5.7,2,200,34.03159,-116.14995
"Field of Dreams","Fat Freddie's Cat > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/116748157/field-of-dreams,2.8,-1,Sport,5.7,1,80,34.04347,-116.14372
"Something Gentlemen Do","Futthead Rock > Magic Mountain Area > OZ Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/118358743/something-gentlemen-do,2.5,-1,Sport,5.7,1,40,34.07028,-116.04411
"Unknown 5.7","Magic Mountain > Magic Mountain Area > OZ Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/118763836/unknown-57,1.0,-1,Sport,5.7,1,30,34.07196,-116.03985
"Micro Aggression","Anger Management Cliffs > Negropolis Area > Quail Springs Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/120171762/micro-aggression,2.0,-1,Sport,5.7,1,50,34.06295,-116.22325
"Joshua Tree Brew","Split Dome (South Rock) > Split Dome > Split Rocks East > Split Rocks > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/121111940/joshua-tree-brew,2.0,-1,Sport,5.7,1,50,34.00969,-116.0549
"Huevos Pequeno","Afro Blues Wall (Northwest Face) > Afro Blues Wall > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/121550104/huevos-pequeno,1.7,-1,Sport,5.7,1,80,34.03377,-116.13894
"right nut","North East Nutsack > Northeast Hills > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/122239497/right-nut,1.0,-1,"Sport, TR",5.7,1,40,34.11011,-116.14891
"The Gift of Slab","Dihedral Rock - West Face > Dihedral Rock > Roadside Rocks - West > Roadside Rocks > Hidden Valley Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/120113426/the-gift-of-slab,2.0,-1,Sport,5.7,1,50,34.01955,-116.17172
