Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Break the Scene,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106924124/break-the-scene,3.6,-1,Sport,5.12a,1,50,37.65292,-83.71772
Crown of Thorns,The Bright Side > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107941261/crown-of-thorns,3.6,-1,Sport,5.11c,1,80,37.67859,-83.73568
Pogue Ethics,Phantasia > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106149020/pogue-ethics,3.5,-1,Sport,5.9+,1,80,37.84495,-83.64369
There Goes the Neighborhood,Funk Rock City > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106283004/there-goes-the-neighborhood,3.6,-1,Sport,5.11c,1,95,37.8029,-83.5762
Tesseract,The Portal > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110969192/tesseract,3.6,-1,Sport,5.10d,1,55,37.64698,-83.67826
Sundial,Serenity Point > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/111688212/sundial,3.6,-1,Sport,5.11a,1,90,37.64136,-83.68044
Prime Directive,Funk Rock City > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105869244/prime-directive,3.6,-1,Sport,5.11b,1,100,37.8029,-83.5762
Super Dario,Eastern Sky Bridge Ridge > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106121898/super-dario,3.6,-1,Sport,5.11a,1,70,37.81596,-83.58104
Brachial Plexus,The Infirmary > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/111170541/brachial-plexus,3.5,-1,Sport,5.11d,1,80,37.64186,-83.68375
Monkey in the Middle,The Old Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106127925/monkey-in-the-middle,3.5,-1,Sport,5.11a,1,80,37.73387,-83.66162
The Preacher's Daughter,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107879859/the-preachers-daughter,3.6,-1,Sport,5.11a/b,1,70,37.65292,-83.71772
Loompa,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106927842/loompa,3.5,-1,Sport,5.10+,1,60,37.64919,-83.71343
Fairweather Friend,The Crossroads > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/111124957/fairweather-friend,3.6,-1,Sport,5.10c,1,80,37.67609,-83.73312
Motor Booty Pimp Affair,Chica Bonita Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/117849670/motor-booty-pimp-affair,3.5,-1,Sport,5.10a,1,95,37.65078,-83.72161
Two Women Alone,Bronaugh Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106782241/two-women-alone,3.6,-1,Sport,5.11a,1,60,37.6538,-83.70943
Fuzzy Undercling,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870256/fuzzy-undercling,3.4,-1,Sport,5.11b,1,60,37.8159,-83.66918
Return of Manimal,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106061901/return-of-manimal,3.5,-1,Sport,5.10d,1,85,37.72444,-83.62657
Scar Tissue,The Old Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106309924/scar-tissue,3.5,-1,Sport,5.12a,1,45,37.73387,-83.66162
Boilerplate,The Crossroads > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106876099/boilerplate,3.4,-1,Sport,5.8,1,50,37.67609,-83.73312
Creep Show,Phantasia > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105889540/creep-show,3.5,-1,Sport,5.10d,1,70,37.84495,-83.64369
Holy Grail,Camelot > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/114530429/holy-grail,3.5,-1,Sport,5.10d,1,70,37.64911,-83.67518
Gettin' Lucky in Kentucky,Tectonic Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106065461/gettin-lucky-in-kentucky,3.4,-1,Sport,5.10b,1,60,37.7301,-83.6318
Psyberpunk,Inner Sanctum > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106915706/psyberpunk,3.5,-1,Sport,5.11c,1,65,37.73203,-83.63337
Supafly,Solar Collector/Gold Coast > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106324559/supafly,3.5,-1,Sport,5.12a,1,80,37.6775,-83.73409
Sloppy Seconds,Secret Garden > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110529834/sloppy-seconds,3.5,-1,Sport,5.11a,1,80,37.64036,-83.67556
Enkidu,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107892916/enkidu,3.5,-1,Sport,5.11c,1,60,37.64919,-83.71343
Spirit Fingers,Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106081940/spirit-fingers,3.5,-1,Sport,5.11c,1,70,37.65292,-83.72495
Johnny B. Good,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106154626/johnny-b-good,3.4,-1,Sport,5.11a,1,80,37.65292,-83.71772
