Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Ghost in the Machine,Curbside > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106782196/ghost-in-the-machine,2.7,-1,Sport,5.10c/d,1,60,37.65051,-83.71917
The Juggernaut,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/109770822/the-juggernaut,2.7,-1,Sport,5.10b,1,65,37.64919,-83.71343
Touch of Grey,The Great Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106451192/touch-of-grey,2.7,-1,Sport,5.10d,1,65,37.73288,-83.63751
Monobrow,Rival Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107685747/monobrow,2.7,-1,Sport,5.10a,1,50,37.6518,-83.71274
One Side Makes You Taller,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107379134/one-side-makes-you-taller,2.6,-1,Sport,5.11a,1,55,37.64919,-83.71343
Mona Lisa Crack,Guide Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107205260/mona-lisa-crack,2.6,-1,Sport,5.8-,1,45,37.7258,-83.6296
Super Pinch,Solar Collector/Gold Coast > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106588480/super-pinch,2.7,-1,Sport,5.10d,1,50,37.6775,-83.73409
The Unbearable Lightness of Being,Bibliothek > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106937702/the-unbearable-lightness-of-being,3.2,-1,Sport,5.11c,1,70,37.73034,-83.64058
Wheelchair Access,The Infirmary > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/112032674/wheelchair-access,2.6,-1,Sport,5.8,1,65,37.64186,-83.68375
Centerfire,Torrent Falls (Limited Access) > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106290265/centerfire,3.8,-1,Sport,5.11c,1,80,37.71998,-83.66294
Kick Me In The Jimmie,(5) Undertow Wall > The Motherlode > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106484047/kick-me-in-the-jimmie,2.9,-1,Sport,5.12a,1,60,37.64574,-83.70988
Armadillo,The Old Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105918082/armadillo,2.7,-1,Sport,5.10d,1,70,37.73387,-83.66162
Reserved Seating,Pebble Beach > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105885193/reserved-seating,2.6,-1,Sport,5.10b,1,50,37.8588,-83.67163
Family Tradition,Volunteer Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106309585/family-tradition,2.6,-1,Sport,5.1,1,50,37.65459,-83.71673
Burning Bush,Johnny's Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106783054/burning-bush,2.6,-1,Sport,5.11a,1,50,37.72961,-83.63208
Injured Reserve,(2) Warm-Up Wall > The Motherlode > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106484453/injured-reserve,2.6,-1,Sport,5.11a/b,1,60,37.64638,-83.71079
"No Brain, No Pain",The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110293313/no-brain-no-pain,2.6,-1,Sport,5.10b,1,40,37.65292,-83.71772
First Time,Volunteer Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106849475/first-time,2.6,-1,Sport,5.8,1,50,37.65459,-83.71673
Put the Best Foot Forward,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106085039/put-the-best-foot-forward,2.6,-1,"Trad, Sport",5.8,1,55,37.72444,-83.62657
Tall Cool One,Tectonic Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106189887/tall-cool-one,2.6,-1,Sport,5.9,1,60,37.7301,-83.6318
