Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"One Banana","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/108938386/one-banana,3.2,-1,Sport,5.11a,1,70,38.14295,-80.91755
"First Steps","7. Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105966939/first-steps,3.2,-1,Sport,5.10c,1,90,38.05238,-81.07272
"S'more Energy","B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106293381/smore-energy,3.1,-1,Sport,5.11c,1,90,38.05569,-81.06276
Gato,"2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107820118/gato,3.1,-1,Sport,5.12a,1,70,38.15323,-80.93233
"Baby With A Nail Gun","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106818549/baby-with-a-nail-gun,3.1,-1,Sport,5.10c,1,80,38.2422,-80.83949
Q-tip,"Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106759834/q-tip,3.1,-1,Sport,5.11b,1,65,38.1151,-81.14094
Supermoon,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/108768800/supermoon,3.1,-1,Sport,5.11a/b,1,100,38.14336,-80.91556
M.E.N.S.A.,"3) The Brain > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106552240/mensa,3.2,-1,Sport,5.11d,1,60,38.05452,-81.03346
Alleluja,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/109532099/alleluja,3.1,-1,Sport,5.10c,1,106,38.14336,-80.91556
"Barfing Butterflies","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105997978/barfing-butterflies,3.1,-1,Sport,5.11b,1,70,38.2422,-80.83949
"Tobacco Road","The Coliseum > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106070704/tobacco-road,3.0,-1,Sport,5.12a/b,1,60,38.24146,-80.84583
Stim-O-Stam,"B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106293340/stim-o-stam,3.1,-1,Sport,5.11c,1,70,38.05569,-81.06276
"Hippie Dreams","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105992273/hippie-dreams,2.9,-1,Sport,5.7,1,75,38.2422,-80.83949
Jaws,"2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105943880/jaws,3.0,-1,"Trad, TR",5.9+,1,70,38.07178,-81.08006
"Stuck In Another Dimension","Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105961531/stuck-in-another-dimension,3.9,-1,Trad,5.11a,1,75,38.08299,-81.08043
"Skull In Hole","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106608544/skull-in-hole,3.0,-1,Sport,5.12a,1,60,38.14336,-80.91556
Meathead,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106493826/meathead,3.0,-1,Sport,5.11c,1,90,38.14336,-80.91556
"Brain Tweezers","3) The Brain > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106023161/brain-tweezers,3.0,-1,Sport,5.10c,1,60,38.05452,-81.03346
"Bimbo Shrine","7. Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105966934/bimbo-shrine,3.0,-1,Sport,5.11b/c,1,75,38.05238,-81.07272
"Mr. Cute","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107159878/mr-cute,3.0,-1,Sport,5.11a,1,80,38.14336,-80.91556
"St. Pauli Girl","12. Beer Wall > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106310004/st-pauli-girl,3.0,-1,Sport,5.10b/c,1,50,38.09026,-81.08717
"Triple Treat","7) Orchard Wall > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105963432/triple-treat,3.5,-1,Trad,5.10,1,70,38.06056,-81.06663
"The Upheaval","E) Kaymoor Slabs > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105963143/the-upheaval,3.0,-1,Sport,5.9,1,85,38.05426,-81.06106
"Tit Speed","7. Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107257149/tit-speed,3.3,-1,Sport,5.11c,1,70,38.05238,-81.07272
"Easily Flakey","2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105943747/easily-flakey,2.9,-1,"Trad, TR",5.7,1,80,38.07178,-81.08006
"Flight Path","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107094773/flight-path,3.0,-1,Sport,5.10b,1,40,38.24137,-80.84379
"By the Way, I Did Your Mom","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106892109/by-the-way-i-did-your-mom,3.0,-1,Trad,5.10-,1,60,38.15323,-80.93233
"Gimme a Clown","Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106736089/gimme-a-clown,2.9,-1,"Sport, TR",5.9,1,70,38.2338,-80.8552
"Pockets of Resistance","3. Rico Suave Buttress > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106019664/pockets-of-resistance,2.9,-1,Sport,5.12a,1,40,38.04716,-81.06756
"Rodent's Party","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/110967550/rodents-party,2.9,-1,Sport,5.10c,1,65,38.14295,-80.91755
Cottonhead,"Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106759846/cottonhead,2.9,-1,Sport,5.10d,1,40,38.1151,-81.14094
"Orange Oswald","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105918472/orange-oswald,2.9,-1,Sport,5.10a,1,70,38.2422,-80.83949
"Layback and Enjoy It","01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106138623/layback-and-enjoy-it,2.9,-1,Sport,5.10d,1,60,38.10049,-81.09596
"Going Ballistic","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106603133/going-ballistic,2.9,-1,Sport,5.10d,1,50,38.24137,-80.84379
"Can I Do It Till I Need Glasses","G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106037604/can-i-do-it-till-i-need-glasses,3.5,-1,Trad,5.10c,1,90,38.05317,-81.05956
Bongo,"Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107384080/bongo,2.9,-1,Sport,5.7,1,70,38.2338,-80.8552
"Strong Arming the Little Guy","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106156848/strong-arming-the-little-guy,2.9,-1,Sport,5.10b/c,1,70,38.2422,-80.83949
Zag,"2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105944184/zag,2.9,-1,"Trad, TR",5.8,1,,38.07178,-81.08006
"Bicycle Club","6. Butcher's Branch > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106419010/bicycle-club,3.2,-1,Sport,5.11d,1,70,38.05092,-81.07276
"High Times","2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105951052/high-times,2.9,-1,Trad,5.10+,1,40,38.07178,-81.08006
"Premarital Bliss","B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106039930/premarital-bliss,3.1,-1,Trad,5.10a,1,80,38.05569,-81.06276
Hysteria,"7) Orchard Wall > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106073348/hysteria,2.8,-1,Trad,5.8,1,90,38.06056,-81.06663
"The Hell With That","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106942184/the-hell-with-that,2.9,-1,Trad,5.9,1,,38.2422,-80.83949
"The Green Piece","6. Butcher's Branch > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105944381/the-green-piece,2.8,-1,Sport,5.10b,1,,38.05092,-81.07276
"Rod Serling Crack","5) Burning Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106127068/rod-serling-crack,3.7,-1,Trad,5.10b,1,75,38.05238,-81.03324
"Hellbound for Glory","H) Hellbound Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106882193/hellbound-for-glory,3.7,-1,Sport,5.12a,1,80,38.0536,-81.05917
"Menace Alert","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105993751/menace-alert,2.8,-1,Sport,5.9+,1,50,38.24137,-80.84379
Biohazard,"B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106023208/biohazard,2.8,-1,Trad,5.10a,1,65,38.05569,-81.06276
"Flash Point","F) Flash Point Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105997956/flash-point,3.7,-1,Sport,5.11d,1,100,38.05354,-81.06018
Marionette,"2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105944174/marionette,3.8,-1,"Trad, TR",5.11c,1,80,38.07178,-81.08006
"The Undeserved","N) The Undeserved Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106575442/the-undeserved,3.7,-1,Trad,5.10b/c,1,90,38.05632,-81.05225
"Michelin Man","08. Ames Wall > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107629662/michelin-man,3.8,-1,Sport,5.11d,1,70,38.09182,-81.09286
"The Good Old Days","3. Rico Suave Buttress > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107792690/the-good-old-days,2.9,-1,Trad,5.9,1,60,38.04716,-81.06756
"Moon Child Posse","5. White Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106036550/moon-child-posse,3.1,-1,Sport,5.11c,1,90,38.04953,-81.07039
