Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"My Stinking Brain","2) Monolith Wall > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107877940/my-stinking-brain,3.0,-1,Sport,5.13a,1,60,38.0657,-81.07019
"Mojo Hand","1. The Hole > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/109115293/mojo-hand,2.9,-1,Sport,5.12d,1,50,38.0449,-81.06561
"Suicide Throat Link-Up","Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/117908681/suicide-throat-link-up,3.0,-1,Sport,5.13a,1,60,38.24193,-80.84067
Bloodshot,"J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/114295349/bloodshot,3.0,-1,Sport,5.13a,1,80,38.05474,-81.05704
"Silent but Deadly","J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/108413519/silent-but-deadly,3.0,-1,Sport,5.13a,1,90,38.05474,-81.05704
"Get Thee Behind Me Satan","I) Honeymooner's Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/112292135/get-thee-behind-me-satan,3.3,-1,Sport,5.13b,1,,38.05426,-81.05828
"Extra Chromosome","[Redacted] > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/114290350/extra-chromosome,3.0,-1,Sport,5.12d,1,30,38.05372,-81.03333
"West Virginia Two-Step","1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107779751/west-virginia-two-step,3.0,-1,Sport,5.13a,1,60,38.14319,-80.91967
"Mother's Milk","Sunshine Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/114079255/mothers-milk,3.3,-1,Sport,5.12d,1,80,38.0752,-81.0891
"Ich Bin Ein Auslander","5. Fourth Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/111808183/ich-bin-ein-auslander,3.0,-1,Sport,5.12d,1,70,38.14527,-80.90998
"The Original Crankster","Sunshine Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105979888/the-original-crankster,3.0,-1,Sport,5.13a,1,70,38.0752,-81.0891
Monsterotica,"3 Greatest Show Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/120191424/monsterotica,3.0,-1,Sport,5.13+,1,50,38.15303,-80.93231
"McCrayfish and Chips","[Redacted] > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/122296016/mccrayfish-and-chips,3.0,-1,Sport,5.13d,1,80,38.05372,-81.03333
"Skull Direct Finish","1. The Hole > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/109419920/skull-direct-finish,3.0,-1,Sport,5.13a,1,70,38.0449,-81.06561
"Black Panther","Pirate's Cove > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/111400783/black-panther,3.0,-1,Sport,5.13a,1,40,38.2427,-80.8485
