Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Burden of Dreams","1. Schultz's Ridge > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106772926/burden-of-dreams,3.6,-1,Trad,"5.12b PG13",5,500,37.72843,-119.62458
"Lost in America","3. Southeast Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/116185557/lost-in-america,3.8,-1,"Trad, Aid","5.10a A4",16,1835,37.72954,-119.63438
"King Snake","Central Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/115158541/king-snake,3.7,-1,Trad,5.12a,4,400,37.74724,-119.57128
"Enemy Within","Olmsted Canyon Right > Olmsted Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106848945/enemy-within,2.9,-1,Trad,5.10-,1,50,37.81564,-119.48839
"Love Supreme","Love Supreme Boulder > The Arena > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/120809055/love-supreme,3.7,-1,"Trad, Alpine","5.13b PG13",1,50,37.85059,-119.44507
Cowabunga,"West Face > DAFF Dome > DAFF Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117722194/cowabunga,3.7,-1,Trad,5.12b,1,70,37.8795,-119.41345
Lifeline,"Af. Finger Lickin' Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/114014900/lifeline,3.6,-1,Trad,5.12a,1,80,37.69834,-119.72378
"Unemployment Line","E. Mount Broderick > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109152364/unemployment-line,3.2,-1,Trad,5.12b,8,800,37.73344,-119.53489
Retrospective,"West Face > Fairview Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/111369349/retrospective,3.8,-1,Trad,"5.11+ R",6,900,37.87012,-119.40627
"Nightingale Arete","Vogelsang Peak > High Sierra Camps - Vogelsang > Cathedral Range > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107041159/nightingale-arete,3.4,-1,"Trad, Alpine",5.10,8,1000,37.77711,-119.34955
"Daddy's Little Girl","Stately Pleasure Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/110901386/daddys-little-girl,3.7,-1,"Trad, Alpine",5.10d,1,100,37.83546,-119.4577
Windjammer,"R. The Widow's Tears Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108176089/windjammer,3.8,-1,Trad,5.10c,3,400,37.70879,-119.66567
Scram,"Ao. This and That Cliff > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109722061/scram,3.8,-1,Sport,5.12a,1,100,37.72521,-119.7068
Quicksilver,"6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107669367/quicksilver,3.6,-1,Trad,"5.9 R",4,600,37.7165,-119.6363
Fly-Girls,"L.  The Chapel Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111857006/fly-girls,3.1,-1,Trad,5.10d,1,80,37.738,-119.59215
Aftershock,"The Cookie Cliff > Aj. Cookie Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107168628/aftershock,3.0,-1,"Trad, TR",5.11b,1,80,37.71772,-119.71881
"Bucket Brigade","Killer Pillar > Bc. Elephant Rock Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113898939/bucket-brigade,3.5,-1,Sport,5.11d,1,,37.71483,-119.71477
"Cooty Trois","Ac. U.S.G.S. Wall > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/114962508/cooty-trois,3.5,-1,Trad,5.12a,1,85,37.67951,-119.73547
"Easy Wind","North Wall > Mariuolumne Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107248598/easy-wind,3.5,-1,Trad,5.11c,1,,37.86406,-119.41946
Firefingers,"Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105939113/firefingers,3.4,-1,Trad,"5.11b/c R",2,250,37.74873,-119.57265
Peasant,"Mecca > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109562177/peasant,2.9,-1,Sport,5.11a,1,75,37.71932,-119.64339
"Wall of Early Morning Light","3. Southeast Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117930953/wall-of-early-morning-light,3.4,-1,"Trad, Aid","5.9 A2+",24,2800,37.72954,-119.63438
Metalhead,"Razor Back > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106906299/metalhead,3.4,-1,Trad,5.11b,3,310,37.87303,-119.40109
"Ride the Lightning","Au. Five and Dime Cliff > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108476385/ride-the-lightning,3.4,-1,"Trad, Sport",5.12a,1,110,37.72288,-119.69922
"Razor Back","North Wall > Mariuolumne Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106019165/razor-back,3.3,-1,Trad,"5.10+ R",1,140,37.86406,-119.41946
Liposuction,"West Face > East Cottage Dome (aka Erratic Dome) > Cottage Domes > DAFF Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106746292/liposuction,3.1,-1,"Sport, Alpine",5.11a/b,1,85,37.8846,-119.40825
"Bearded Clam","West Face > DAFF Dome > DAFF Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106137294/bearded-clam,3.2,-1,Trad,5.11a,1,100,37.8795,-119.41345
Slasher,"Razor Back > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106906284/slasher,3.0,-1,Trad,5.9+,3,300,37.87303,-119.40109
